GAME_ID,GAME_DATE,MATCHUP,WL,PTS,PLUS_MINUS,TEAM,OPPONENT
0021500002,2015-10-27,CHI vs. CLE,W,97,2,CHI,CLE
0021500001,2015-10-27,ATL vs. DET,L,94,-12,ATL,DET
0021500003,2015-10-27,GSW vs. NOP,W,111,16,GSW,NOP
0021500014,2015-10-28,PHX vs. DAL,L,95,-16,PHX,DAL
0021500015,2015-10-28,POR vs. NOP,W,112,18,POR,NOP
0021500013,2015-10-28,OKC vs. SAS,W,112,6,OKC,SAS
0021500005,2015-10-28,BOS vs. PHI,W,112,17,BOS,PHI
0021500016,2015-10-28,SAC vs. LAC,L,104,-7,SAC,LAC
0021500010,2015-10-28,HOU vs. DEN,L,85,-20,HOU,DEN
0021500011,2015-10-28,MEM vs. CLE,L,76,-30,MEM,CLE
0021500006,2015-10-28,BKN vs. CHI,L,100,-15,BKN,CHI
0021500017,2015-10-28,LAL vs. MIN,L,111,-1,LAL,MIN
0021500007,2015-10-28,DET vs. UTA,W,92,5,DET,UTA
0021500004,2015-10-28,ORL vs. WAS,L,87,-1,ORL,WAS
0021500008,2015-10-28,MIA vs. CHA,W,104,10,MIA,CHA
0021500012,2015-10-28,MIL vs. NYK,L,97,-25,MIL,NYK
0021500009,2015-10-28,TOR vs. IND,W,106,7,TOR,IND
0021500019,2015-10-29,NYK vs. ATL,L,101,-11,NYK,ATL
0021500018,2015-10-29,IND vs. MEM,L,103,-9,IND,MEM
0021500020,2015-10-29,LAC vs. DAL,W,104,16,LAC,DAL
0021500030,2015-10-30,HOU vs. GSW,L,92,-20,HOU,GSW
0021500032,2015-10-30,PHX vs. POR,W,110,18,PHX,POR
0021500029,2015-10-30,DEN vs. MIN,L,78,-17,DEN,MIN
0021500026,2015-10-30,ATL vs. CHA,W,97,3,ATL,CHA
0021500021,2015-10-30,CLE vs. MIA,W,102,10,CLE,MIA
0021500031,2015-10-30,SAC vs. LAL,W,132,18,SAC,LAL
0021500028,2015-10-30,SAS vs. BKN,W,102,27,SAS,BKN
0021500022,2015-10-30,ORL vs. OKC,L,136,-3,ORL,OKC
0021500025,2015-10-30,DET vs. CHI,W,98,4,DET,CHI
0021500027,2015-10-30,MIL vs. WAS,L,113,-5,MIL,WAS
0021500024,2015-10-30,BOS vs. TOR,L,103,-10,BOS,TOR
0021500023,2015-10-30,PHI vs. UTA,L,71,-28,PHI,UTA
0021500034,2015-10-31,WAS vs. NYK,L,110,-7,WAS,NYK
0021500037,2015-10-31,POR vs. PHX,L,90,-11,POR,PHX
0021500033,2015-10-31,IND vs. UTA,L,76,-21,IND,UTA
0021500036,2015-10-31,MEM vs. BKN,W,101,10,MEM,BKN
0021500038,2015-10-31,LAC vs. SAC,W,114,5,LAC,SAC
0021500035,2015-10-31,NOP vs. GSW,L,120,-14,NOP,GSW
0021500041,2015-11-01,MIA vs. HOU,W,109,20,MIA,HOU
0021500040,2015-11-01,BOS vs. SAS,L,87,-8,BOS,SAS
0021500045,2015-11-01,LAL vs. DAL,L,93,-10,LAL,DAL
0021500042,2015-11-01,TOR vs. MIL,W,106,19,TOR,MIL
0021500039,2015-11-01,CHA vs. ATL,L,92,-2,CHA,ATL
0021500044,2015-11-01,OKC vs. DEN,W,117,24,OKC,DEN
0021500043,2015-11-01,CHI vs. ORL,W,92,5,CHI,ORL
0021500051,2015-11-02,GSW vs. MEM,W,119,50,GSW,MEM
0021500046,2015-11-02,PHI vs. CLE,L,100,-7,PHI,CLE
0021500052,2015-11-02,LAC vs. PHX,W,102,6,LAC,PHX
0021500047,2015-11-02,BKN vs. MIL,L,96,-7,BKN,MIL
0021500048,2015-11-02,NYK vs. SAS,L,84,-10,NYK,SAS
0021500050,2015-11-02,MIN vs. POR,L,101,-5,MIN,POR
0021500049,2015-11-02,HOU vs. OKC,W,110,5,HOU,OKC
0021500058,2015-11-03,SAC vs. MEM,L,89,-14,SAC,MEM
0021500056,2015-11-03,NOP vs. ORL,L,94,-9,NOP,ORL
0021500053,2015-11-03,CHA vs. CHI,W,130,25,CHA,CHI
0021500055,2015-11-03,MIA vs. ATL,L,92,-6,MIA,ATL
0021500057,2015-11-03,DAL vs. TOR,L,91,-11,DAL,TOR
0021500059,2015-11-03,LAL vs. DEN,L,109,-11,LAL,DEN
0021500054,2015-11-03,DET vs. IND,L,82,-12,DET,IND
0021500060,2015-11-04,IND vs. BOS,W,100,2,IND,BOS
0021500063,2015-11-04,CLE vs. NYK,W,96,10,CLE,NYK
0021500067,2015-11-04,PHX vs. SAC,W,118,21,PHX,SAC
0021500069,2015-11-04,GSW vs. LAC,W,112,4,GSW,LAC
